,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,Power Supply,MS Office Provided,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Expandable Memory,Cache,Graphic Processor,Number of Cores,OS Architecture,Operating System,Supported Operating System,Mic In,USB Port,HDMI Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,price,Battery Cell,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,HDD Capacity,System Architecture,RJ45,Hardware Interface,Sound Chip,Refresh Rate,Ethernet,Pointer Device,EMMC Storage Capacity,Multi Card Slot,Security Chip,Chipset,Memory Slots,RPM,RAM Frequency,Lock Port,TGP,S-video,RJ11,VGA Port,NFC Support,Face Recognition,Laptop Bag,Other Accessories,Dock Port,Firewire Port,Read/Write Speed,Antivirus,International Warranty,Wireless WAN,Recovery Options,Brightness,Stylus Included,Inbuilt 4G LTE
127,"Laptop, battery, power adapter, user guide, Laptop Bag",stealth gs66 12ugs-038in,9S7-16V512-042,Stealth GS66 12UGS,Stealth GS66,Black,Gaming Laptop,Gaming,,240W Slim adapter,No,Intel,Core i7,12th Gen,Yes,1 TB,32 GB,DDR5,12700H,4.7,,,NVIDIA GeForce RTX 3070 Ti,,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1x Type-C DP / Thunderbolt 4, 2x Type-C 3.2 Gen 2, 2x Type-A 3.2 Gen 2",1x HDMI,No,39.62 cm (15.6 Inch),2560 x 1440 Pixels,QHD (240Hz DCI-P3 100% typical),Built in dual speakers,Yes,Realtek ALC 298,Intel Killer Wi-Fi 6E AX1675(i),v5.2,358 x 248 x 19.8 mm,2.1 Kg,Not Available,720p + IR,,Per key RGB steel series,,,,2 Year On-Site Warranty,On-Site & Carry-In,Part Failure,"Physical Damage, Burn, Liquid Spill",2 Year,275990,4,GDDR6,8 GB,,64,Yes,NVMe PCIe,,144 Hz,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
128,"Laptop, power adapter",Bravo 15 B5ED-035IN,9S7-158M12-035,Bravo 15 B5ED,Bravo 15,Black,Gaming Laptop,Gaming,,150W adapter,No,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR,5800H,3.2GHz Upto 4.4GHz,,,AMD Radeon RX6500M,8,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x Type-C USB3.2 Gen1, 2 x Type-A USB3.2 Gen1, 1 x Type-A USB2.0",1x HDMI 2.1 (4K @ 60Hz),No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"FHD, 144Hz, 45%NTSC, IPS-Level",Built-in Dual Stereo Speakers,Yes,,AMD Wi-Fi 6E RZ608,v5.2,359 x 259 x 24.95mm,2.35 Kg,Not Available,HD type (30fps@728p),,Single Backlit Keyboard (Red),Yes,,53.5 Whr Battery,1 Year Warranty Term,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",1 Year,57990,,GDDR6,4 GB,,64 Bit,Yes,,,144 Hz,Gb LAN,,,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
129,"Laptop, battery, adapter, cables and user manuals",Inspiron 3511,D560581WIN9BE,Inspiron 3511,Inspiron,Carbon,Thin and Light Laptop,Everyday Use,Upto 7 hours,,Yes,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,115G4,1.7 GHz upto max turbo frequency at 4.1 Ghz,16GB,6M,Intel Integrated UHD,2,64 bit,Windows 10,Windows 10,Yes,"2 x USB 3.2 Gen 1, 1 x USB2.0",1x HDMI 1.4 port,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD Anti Glare,Yes,Yes,Waves Maxx Audio Pro,802.11ac,v5.0,236 x 386 x 19 mm,1.85 kg,Not Available,HD,No,English International Non Backlit Keyboard,No,Office Home and Student 2019 included,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Accidental Damage,1 Year,37890,3 cell,,,,,Yes,M.2 SATA,,,Available,Touchpad,,"SD Media Card Reader (SD, SDHC, SDXC)",,,2,,2666 MHz,Kensington Lock Port,,,,,,,,,,,,McAfee,,,,,,
130,"Laptop, Power Adapter, User Guide, Warranty Documents",14a-ca0504TU,678M6PA#ACJ,14a-ca0504TU,Chromebook x360 Intel,Forest Teal,Chromebook,Processing & Multitasking,,,No,Intel,Celeron Quad Core,,No,,4 GB,LPDDR4,N4020,2.8,,4,Intel Integrated UHD Graphics,2,64 bit,Chrome,Chrome 64,Yes,"2 x SuperSpeed USB Type-C 5Gbps signaling rate,(USB Power Delivery, DisplayPort 1.2) 1 x SuperSpeed USB Type-A 5Gbps signaling rate",,Yes,35.56 cm (14 Inch),1366 x 768 Pixels,"HD, touch, micro-edge, BrightView, (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)",Dual speakers,Integrated dual array digital microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac Wi-Fi,v5.0,325 x 219 x 17.9 mm,1.49 Kg,Not Available,HP Wide Vision 720p HD camera,,"Full-size, jet black keyboard",,,47 Wh Li-ion polymer battery,1 Year Onsite warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,19990,2,,,,64,,,,,,HP Imagepad with multi-touch gesture support,64 GB,,,,,,2400 MHz,,,,,,,,,,,,,,,,,,,
131,"Laptop, Power Adaptor, User Guide, Warranty Documents",15APH8,82XT004HIN,15APH8,LOQ,Storm Grey,Gaming Laptop,"Everyday Use, Gaming, Processing & Multitasking",Upto 9.5 Hours,170W Slim Tip Adapter (3 Pin),Yes,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR5,7840HS,"Base Frequency 3.8 GHz, Max Turbo Boost at 5.1 GHz",16 GB,16 MB,NVIDIA GeForce RTX 3050,8,,Windows 11 Home,Windows 11,Yes,"1 x USB 2.0, 2 x USB 3.2 Gen 2, 1 x USB-C 3.2 Gen 2 (Support Data Transfer, Power Delivery 140W and DisplayPort 1.4)","1 x HDMI 2.1, Upto 8K/60Hz",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, 350nits Anti-glare, 45% NTSC, Refresh Rate: 144 Hz, G-SYNC, FreeSync",2W Dual Stereo Speakers,Dual Array Microphone,Nahimic Gaming Audio,"Wi-Fi 6, 11ax 2x2",v5.1,359.6 x 264.8 x 22.1 mm,2.4 kg,Not Available,Full HD 1080p with E Shutter,,"White Backlit, English",Yes,Microsoft Office Home & Student 2021,"Integrated 60Wh Battery, AI Chip: LA1",1 Year Onsite Warranty,Onsite,Manufacturing Damage,Physical Damage,1 Year,87990,,GDDR6,6 GB,,,Yes,PCIe 4.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",,100/1000M (RJ-45),,,,Firmware TPM 2.0 Enabled,AMD SoC Platform,2,5600,,,,,,,,,,,,,,,,,,,,
132,"Laptop, Power Adaptor, User Guide, Warranty Documents",15AMN8,82XQ008VIN,Slim 3,IdeaPad,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,Upto 11 Hours,65W Round Tip (3 Pin),Yes,AMD,Ryzen 5 Quad Core,,Yes,512 GB,16 GB,LPDDR5,7520U,"Base Frequency 2.8 GHz, Max Turbo Boost at 4.3 GHz",,4 MB,AMD Radeon 610M,4,,Windows 11 Home,Windows 11,Yes,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer, Power Delivery and DisplayPort 1.2)",1 x HDMI 1.4,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, 300nits Anti-glare",1.5W Dual Stereo Speakers,Dual Array Microphone,Dolby Audio,"Wi-Fi 6, 11ax 2x2",v5.1,359.3 x 235 x 17.9 mm,1.62 kg,Not Available,HD 720p with Privacy Shutter,,"Backlit, English",Yes,Microsoft Office Home & Student 2021,Integrated 47Wh Battery,1 Year Carry-in Warranty,Carry-In,Manufacturing Damage,Physical Damage,1 Year,72190,,,,,,,M.2 2242 PCIe 4.0 x 4 NVMe,High Definition (HD) Audio,,,,,1 x SD Card Reader,Firmware TPM 2.0 Enabled,AMD SoC Platform,,5500,,,,,,,,,,,,,,,,,,,,
133,"Laptop, battery, adapter, cables and user manuals",ideapad 3 cb 11igl05 2,82BA001PHA|82BA0029HA,CB 11IGL05,IdeaPad 3 Chromebook Intel,Onyx Black,Chromebook,Processing & Multitasking,Upto 10 Hours,45W USB-C,No,Intel,Celeron Dual Core,,No,,4 GB,LPDDR4,N4020,Max Frequency Up to 2.8 GHz,,,Intel Integrated UHD,,,Chrome,Chrome OS,Yes,"2 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort), 2 x USB 3.2 Gen 1",,No,29.46 cm (11.6 Inch),1366 x 768 Pixel,HD TN 250nits Anti-glare,Built-in Stereo Speakers,Built-in array microphone,2 x 2 Stereo Speaker,"11ac, 2x2",v4.2,286.7 x 205.5 x 18.05 mm,1.12 kg,Not Available,720p,No,"Non-backlit, English",No,,42Wh,1 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,1 Year,14990,,,,,,,,,,,,64 GB,1 x card reader,,,,,,,,,,,,,,,,,,,,,,,,
134,"Laptop, Power Adaptor, User Guide, Warranty Documents",15IRH8,82XV00BRIN,15IRH8,LOQ,Storm Grey,Gaming Laptop,"Everyday Use, Gaming, Processing & Multitasking",Upto 5.32 Hours,170W Slim Tip Adapter (3 Pin),Yes,Intel,Core i7,13th Gen,Yes,512 GB,16 GB,DDR5,13620H,"Base Frequency 2.4 GHz, Max Turbo Boost at 4.9 GHz",16 GB,24 MB,NVIDIA GeForce RTX 4060,10,,Windows 11 Home,Windows 11,Yes,"1 x USB 3.2 Gen 1, 2 x USB 3.2 Gen 2, 1 x USB-C 3.2 Gen 2 (Support Data Transfer, Power Delivery 140W and DisplayPort 1.4)","1 x HDMI 2.1, Upto 8K/60Hz",No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, IPS, 350nits Anti-glare, 45% NTSC, Refresh Rate: 144Hz, G-SYNC",2W Dual Stereo Speakers,Dual Array Microphone,Nahimic Gaming Audio,"Wi-Fi 6, 11ax 2x2",v5.1,359.6 x 264.8 x 22.1 mm,2.4 kg,Not Available,Full HD 1080p with E Shutter,,"White Backlit, English",Yes,Microsoft Office Home & Student 2021,"Integrated 60Wh Battery, AI Chip: LA1",1 Year Carry-in Warranty,Carry-In,Manufacturing Damage,Physical Damage,1 Year,114990,,GDDR6,8 GB,,,Yes,PCIe 4.0 x 4 NVMe,"High Definition (HD) Audio, Realtek ALC3287 Codec",,100/1000M (RJ-45),,,,Firmware TPM 2.0 Enabled,Intel SoC Platform,2,5200,,,,,,,,,,,,,,,,,,,,
135,"Laptop, User manual, Adapter",RC45KD,G5 KD-52IN123SE,RC45KD,G5 KD,Matte Black,Gaming Laptop,Gaming,,180W AC Adapter,Yes,Intel,Core i5,11th Gen,Yes,512 GB,16 GB,DDR4,11400H,2.70 GHz Max Turbo Boost Frequency Up to 4.50 GHz,,,NVIDIA GeForce RTX 3060,,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB2.0 Type-A, 2 x USB3.2 Gen1 Type-A",1 x HDMI 2.0,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD 16:9 aspect ratio,LED Backlit, 300 Nits, 45% NTSC, 6-bit + Hi-FRC, Anti-glare display",Built-in Speakers,,,"Intel AX201 Wireless (802.11ax, a/b/g/n/ac/ax compatible) *1",v5.2,361 x 258 x 31.8 mm,2.18 Kg,Not Available,HD Camera,No,All-zone of Single Colored Backlit Keyboard with 15 Colors LED Setting,Yes,,,2 year carry on warranty,Onsite,Manufacturing Defects,Physical Damage,,79990,,GDDR6,6 GB,,,,,,144 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"Laptop, Battery, Adapter, Cables and User Manuals, Palm rest",GX650RMZ-LS019WS,90NR09N1-M002L0,GX650RMZ-LS019WS,ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery,Black,Gaming Laptop,Gaming,,240W AC Adapter,Yes,AMD,Ryzen 7 Octa Core,,Yes,2 TB,32 GB,DDR5,6800H,3.2 GHz upto max turbo frequency at 4.7 Ghz,,20,NVIDIA GeForce RTX 3060,8,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 2 Type-C support DisplayPort, 1 x USB 3.2 Gen 2 Type-C support DisplayPort / power delivery / G-SYNC, 2 x USB 3.2 Gen 2 Type-A",1 x HDMI 2.1,No,40.64 cm (16 Inch),1920 x 1200 Pixel,"FHD+ LED-Backlit LCD,165Hz Refresh Rate, Response Time 3ms, IPS-level, Brightness 500nits, Contrast 1200:1, DCI-P3 100, Anti-glare display",Built-in Speakers,Built-in Microphone,Dolby Atmos Hi-Res certification,Wi-Fi 6E(802.11ax) (Dual band) 2x2,v5.2,355 x 266 x 21.0 mm,2.50 kg,Not Available,720P HD IR Camera for Windows Hello,No,Backlit Chiclet Keyboard Per-Key RGB,Yes,,90WHrs Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,178490,4 Cell,GDDR6,6 GB,,,Yes,,,,,,,,,,,,,,,,,,,,,Palm rest,,,,,,,,,,
137,"Laptop, Power Adaptor, User Guide, Warranty Documents",IPG3-15IHU6,82K1004EIN,,IdeaPad Gaming 3i Intel,Shadow Black,Gaming Laptop,Gaming,Upto 8 hours,170W Slim Tip Adapter,No,Intel,Core i7,11th Gen,Yes,512 GB,8 GB,DDR4,11370H,3.3 GHz with Turbo Boost Upto 4.8 GHz,,,NVIDIA GeForce RTX 3050,,64 bit,Windows 10 Home,Windows 10 Home,Yes,"1 x USB-C 3.2 Gen 1, 2 x USB 3.2 Gen",1x HDMI 2.0,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD (IPS 250nits Anti-glare, 120Hz, 45% NTSC, DC dimmer)",Built-in Stereo Speakers,Built-in array microphone,"Nahimic Audio, High Definition (HD) Audio, Realtek ALC3287 codec","11ax, 2x2",v5.0,359.6 x 251.9 x 24.2 mm,2.25 kg,Not Available,720p with Camera Shutter,No,"White backlit, English",Yes,,45Wh Integrated Battery,1 Year Warranty + 1 Year Premium Care + 1 Year ADP,Onsite,"(1) Manufacturer’s warranty against faulty workmanship or defective parts; (2) ADP-Single repair once in year against all Liquid spills, unintentional bump and drops, electric surge, cracks on screen; (3) Premium Care- 24x7 on call support, Software support in case of HDD failure","(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty; (3) Premium Care & ADP- Not covered in case of Theft, fire, rain, flood and part alteration",1 Year,76490,,GDDR6,4 GB,,,,PCIe NVMe,,120 Hz,100/1000M,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-fq2670TU,6N043PA#ACJ,15s-fq2670TU,,Jet Black,Thin and Light Laptop,Processing & Multitasking,,,Yes,Intel,Core i3,11th Gen,Yes,256 GB,8 GB,DDR4,1115G4,"Base Frequency 1.70 Ghz, Max Turbo Boost Frequency Up to 4.10 GHz",,,Intel Integrated UHD,,,Windows 11 Home,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5 Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 1.4b,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, micro-edge anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Built-in Speakers,,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,V5.0,358 x 242 x 17.9 mm,1.69 Kg,Not Available,HP True Vision 720p HD camera,,"Full-size, Jet Black keyboard with numeric keypad",,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,42990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"1N Laptop, 1N Charger, 1N User Manual",4G,PB4G11128#006C,Primebook S 4G,4G Android Based,Black,Thin and Light Laptop,"Processing & Multitasking, Learning",Upto 8 hours,,No,MediaTek,MediaTek MT8788,,No,,4 GB,LPDDR4,MT8788,Max Frequency Up to 2.0 GHz,,,MediaTek Integrated ARM Mali G72,,,Prime OS,Based on Android 11,Yes,"1 x USB 2.0, 1 x USB 3.0",,No,29.46 cm (11.6 Inch),1366 x 768 Pixels,HD IPS,Built-in Speakers,,,Wifi 5GHz and 2.4 GHz,V5.0,281 X 192 X 19.3 mm,1.065 Kg,Not Available,2.0 MP,,QWERTY with PrimeOS Special KB Shortcuts,No,,,1 Year Pick and Drop Warranty,Pick and Drop,Manufacturing Defects,Accidental Damage,,14990,,,,,,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Laptop, Power Adapter, User Guide, Warranty Documents",14a-ca0506TU,678M8PA#ACJ,14a-ca0506TU,Chromebook x360 Intel,Mineral Silver,Chromebook,Processing & Multitasking,,,No,Intel,Celeron Dual Core,,No,,4 GB,LPDDR4,N4020,2.8,,4,Intel Integrated UHD Graphics,2,64 bit,Chrome,Chrome 64,Yes,"2 x SuperSpeed USB Type-C 5Gbps signaling rate (USB Power Delivery, DisplayPort 1.2), 1 x SuperSpeed USB Type-A 5Gbps signaling rate",,Yes,35.56 cm (14 Inch),1366 x 768 Pixels,"HD, touch, micro-edge, BrightView (Brightness: 220 nits, 112 ppi, Color Gamut: 45% NTSC)",Dual speakers,Integrated dual array digital microphones,,Realtek RTL8822CE 802.11a/b/g/n/ac Wi-Fi,v5.0,325 x 219 x 17.9 mm,1.49 Kg,Not Available,HP Wide Vision 720p HD camera,,"Full-size, jet black keyboard",,,47 Wh Li-ion polymer battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,19990,2,,,,64,,,,,,HP Imagepad with multi-touch gesture support,64 GB,,,,,,2400 MHz,,,,,,,,,,,,,,,,,,,
141,"Laptop, battery, adapter, cables and user manuals",14s-fq1083AU,4U582PA#ACJ,14s-fq1083AU,,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,Yes,AMD,Ryzen 7 Octa Core,,Yes,512 GB,8 GB,DDR4,5700U,1.8 GHz upto max turbo frequency at 4.3 Ghz,,8M,AMD Radeon AMD,,64 bit,Windows 10 Home,Windows 10 Home 64 Plus Single Language,Yes,,1 x HDMI 1.4b,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD, IPS, micro-edge, BrightView, Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTS",Built-in Dual Speakers,Built-in dual array digital microphones,Built-in speaker,Realtek Wi-Fi CERTIFIED 6 (1x2),v5.2,324 x 225 x 17.9 mm,1.46 kg,Not Available,HP True Vision 720p HD camera,Yes,"Full-size, backlit, natural silver keyboard",Yes,Microsoft Office Home & Student 2019,41 Wh Li-ion,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,60990,3 cell,,,,,,,,,,HP Imagepad with multi-touch gesture support,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Laptop, Power Adaptor, User Guide, Warranty Documents",A515-45-R9PX,NX.A84SI.003,A515-45-R9PX,Aspire 5,Silver,Thin and Light Laptop,Processing & Multitasking,Upto 13.5 hours,45W AC Adapter (3-pin),No,AMD,Ryzen 7 Octa Core,,Yes,512 GB,8 GB,DDR4,5700U,,24,,AMD Radeon AMD,8,64 bit,Windows 10 Home,Windows 10,Yes,"1 x USB Port with Power-Off Charging, 1 x USB 3.2 Gen 1 Port, 1 x USB Type-C Port, 1 x USB 2.0 port",1 x HDMI,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, High Brightness Acer ComfyView LED Backlit TFT LCD, 16:9 Aspect Ratio, Ultra Slim Design, Mercury Free, Environment Friendly",Built-in Dual Stereo Speakers,Built-in Dual Microphone,"Acer TrueHarmony Gen 2 Technology for Lower Distortion, Wider Frequency Range, Headphone Like Audio and Powerful Sound",802.11 a/b/g/n/ac,v5.0,363.4 x 250.5 x 17.95 mm,1.76 kg,Not Available,720p HD Audio/Video Recording,Yes,"100-/101-/104- Key FineTip Backlit Keyboard with Independent Numeric Keypad, International Language Support, and Power Button, Media Control Keys (Printed on Keyboard): Volume Up, Volume Down",Yes,"Acer Care Center, Acer Configuration Manager, Quick Access, Acer Product Registration","48 Wh 3 cell Li-ion Battery, Compatible with Cortana with Voice, 2 x 2 MU-MIMO Technology, Intel Dual Band Wireless-AC, Headset/Speaker Jack, Microsoft Precision Touchpad Certification",1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,,55990,3 Cell,,,,64 Bit,Yes,NVMe PCIe Gen 3.0,,,"Gigabit Ethernet, Wake-on-LAN Ready","Multi Gesture Touchpad, Supporting Two-finger Scroll, Pinch, Gestures to Open Cortana, Action Center",,1 x DC-in Jack,"BIOS User, Kensington Lock Slot",,,,,Kensington Lock Slot,,,,,,,,,,,,,1 Year,,,,,
143,"Laptop, power adapter",Bravo 15 B5ED-035IN,9S7-158M12-035,Bravo 15 B5ED,Bravo 15,Black,Gaming Laptop,Gaming,,150W adapter,No,AMD,Ryzen 7 Octa Core,,Yes,512 GB,16 GB,DDR,5800H,3.2GHz Upto 4.4GHz,,,AMD Radeon RX6500M,8,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x Type-C USB3.2 Gen1, 2 x Type-A USB3.2 Gen1, 1 x Type-A USB2.0",1x HDMI 2.1 (4K @ 60Hz),No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"FHD, 144Hz, 45%NTSC, IPS-Level",Built-in Dual Stereo Speakers,Yes,,AMD Wi-Fi 6E RZ608,v5.2,359 x 259 x 24.95mm,2.35 Kg,Not Available,HD type (30fps@728p),,Single Backlit Keyboard (Red),Yes,,53.5 Whr Battery,1 Year Warranty Term,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",1 Year,57990,,GDDR6,4 GB,,64 Bit,Yes,,,144 Hz,Gb LAN,,,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
144,"Laptop, battery, adapter, cables and user manuals",ideapad 3 cb 11igl05 2,82BA001PHA|82BA0029HA,CB 11IGL05,IdeaPad 3 Chromebook Intel,Onyx Black,Chromebook,Processing & Multitasking,Upto 10 Hours,45W USB-C,No,Intel,Celeron Dual Core,,No,,4 GB,LPDDR4,N4020,Max Frequency Up to 2.8 GHz,,,Intel Integrated UHD,,,Chrome,Chrome OS,Yes,"2 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort), 2 x USB 3.2 Gen 1",,No,29.46 cm (11.6 Inch),1366 x 768 Pixel,HD TN 250nits Anti-glare,Built-in Stereo Speakers,Built-in array microphone,2 x 2 Stereo Speaker,"11ac, 2x2",v4.2,286.7 x 205.5 x 18.05 mm,1.12 kg,Not Available,720p,No,"Non-backlit, English",No,,42Wh,1 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty,1 Year,14990,,,,,,,,,,,,64 GB,1 x card reader,,,,,,,,,,,,,,,,,,,,,,,,
145,"1N Laptop, 1N Charger, 1N User Manual",4G,PB4G11064#006C,Primebook 4G,4G Android Based,Black,Thin and Light Laptop,"Processing & Multitasking, Learning",Upto 8 hours,,No,MediaTek,MediaTek MT8788,,No,,4 GB,LPDDR4,MT8788,Max Frequency Up to 2.0 GHz,,,MediaTek Integrated ARM Mali G72,,,Prime OS,Based on Android 11,Yes,"1 x USB 2.0, 1 x USB 3.0",,No,29.46 cm (11.6 Inch),1366 x 768 Pixels,HD IPS,Built-in Speakers,,,Wifi 5GHz and 2.4 GHz,V5.0,281 X 192 X 19.3 mm,1.065 Kg,Not Available,2.0 MP,,QWERTY with PrimeOS Special KB Shortcuts,No,,,1 Year Pick and Drop Warranty,Pick and Drop,Manufacturing Defects,Accidental Damage,,13990,,,,,,,,,,,,64 GB,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Laptop, Power Adaptor, User Guide, Warranty Documents",16-n0051AX,6H758PA#ACJ,16-n0051AX,,Mica Silver,Gaming Laptop,Gaming,,83 Wh Li-ion polymer,Yes,AMD,Ryzen 9 Octa Core,,Yes,1 TB,32 GB,DDR5,6900HX,3.3 GHz upto max turbo frequency at 4.9 Ghz,,16MB,AMD Radeon RX 6650M,,64 bit,Windows 11 Home,Windows 11 Home,Yes,"2 x SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x SuperSpeed USB Type-A 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 2.1,No,40.89 cm (16.1 Inch),1920 x 1080 Pixel,"Full HD, 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, Brightness: 300 nits, 137 ppi, Color Gamut: 100% sRGB",,,Audio by Bang & Olufsen,MediaTek Wi-Fi 6E MT7922 (2x2),v5.2,369 x 245 x 22.5 mm,2.32 Kg,Not Available,HP Wide Vision 720p HD camera with temporal noise reduction,No,"Full-size, 4-zone RGB backlit, mica silver keyboard",Yes,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,154490,6 cell,GDDR6,8 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"Laptop, Battery, Adapter, Cables and User Manuals",G15-5511,D560728WIN9B,G15-5511,,Dark Shadow Grey,Gaming Laptop,Gaming,Upto 10 Hours,,Yes,Intel,Core i7,11th Gen,Yes,512 GB,16 GB,DDR4,11800H,2.3 GHz upto max turbo frequency at 4.6 Ghz,16,24,NVIDIA GeForce RTX 3050 Ti,8,64 bit,Windows 11 Home,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Port , 2 x USB 2.0 Ports",1x HDMI 2.0 port,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD WVA AG 250 nits 120Hz Narrow Border,Yes,Yes,Nahimic 3D Audio,Intel Wi-Fi 6 2x2 (Gig+),v5.0,272 x 357 x 25 mm,2.65 Kg,Not Available,HD,No,English International Backlit Keyboard Orange,Yes,Office Home and Student 2021,,1 Year Premium Support,Onsite,Manufacturing Defects,Physical Damage,1 Year,103490,3 cell,GDDR6,4 GB,,,Yes,M.2 SATA,,,Available,,,1 x card reader,,,2,,2933 MHz,,,,,,,,,,,,,,,,,,,
